anio;MODO;TOTAL
2019;COLECTIVO;2250182778
2019;SUBTE;243842401
2019;TREN;315610116
2018;COLECTIVO;3232036997
2018;SUBTE;340008788
2018;TREN;412558086
2017;COLECTIVO;3302995359
2017;SUBTE;318070572
2017;TREN;361131025
2016;COLECTIVO;3390301296
2016;SUBTE;295455199
2016;TREN;291372434
