PERIODO;MODO; Suma de CANTIDAD ;ACTUALIZACION
201704;SUBTE;24.860.235;201903
201704;TREN;27.355.468;201903
201705;COLECTIVO;293.102.784;201903
201705;SUBTE;28.736.760;201903
201705;TREN;30.405.823;201903
201706;COLECTIVO;283.503.423;201903
201706;SUBTE;28.353.894;201903
201706;TREN;29.477.122;201903
201707;COLECTIVO;276.699.891;201903
201707;SUBTE;27.974.389;201903
201707;TREN;30.473.978;201903
201708;COLECTIVO;302.768.544;201903
201708;SUBTE;30.288.374;201903
201708;TREN;33.372.568;201903
201709;COLECTIVO;295.262.534;201903
201709;SUBTE;29.705.725;201903
201709;TREN;33.101.229;201903
201710;COLECTIVO;303.313.341;201903
201710;SUBTE;30.320.003;201903
201710;TREN;34.596.160;201903
201711;COLECTIVO;298.066.076;201903
201711;SUBTE;29.839.795;201903
201711;TREN;34.996.296;201903
201712;COLECTIVO;269.178.575;201903
201712;SUBTE;25.516.702;201903
201712;TREN;30.640.091;201903
201801;COLECTIVO;237.610.057;201907
201801;SUBTE;22.615.572;201907
201801;TREN;29.627.180;201907
201802;COLECTIVO;221.904.206;201907
201802;SUBTE;21.826.704;201907
201802;TREN;28.449.972;201907
201803;COLECTIVO;293.150.628;201907
201803;SUBTE;29.054.389;201907
201803;TREN;36.640.156;201907
201804;COLECTIVO;275.590.924;201907
201804;SUBTE;28.971.785;201907
201804;TREN;35.283.376;201907
201805;COLECTIVO;295.549.008;201907
201805;SUBTE;29.715.615;201907
201805;TREN;36.571.280;201907
201806;COLECTIVO;270.807.509;201907
201806;SUBTE;29.474.868;201907
201806;TREN;32.581.226;201907
201807;COLECTIVO;261.663.517;201907
201807;SUBTE;30.428.613;201907
201807;TREN;33.242.886;201907
201808;COLECTIVO;292.083.592;201907
201808;SUBTE;32.975.741;201907
201808;TREN;38.359.615;201907
201809;COLECTIVO;266.479.537;201907
201809;SUBTE;28.560.025;201907
201809;TREN;35.181.627;201907
201810;COLECTIVO;295.377.606;201907
201810;SUBTE;32.414.448;201907
201810;TREN;39.771.306;201907
201811;COLECTIVO;274.050.239;201907
201811;SUBTE;28.296.369;201907
201811;TREN;35.406.389;201907
201812;COLECTIVO;250.384.695;201907
201812;SUBTE;25.686.449;201907
201812;TREN;32.634.783;201907
201901;COLECTIVO;216.607.215;201911
201901;SUBTE;22.645.988;201911
201901;TREN;31.994.781;201911
201902;COLECTIVO;213.011.190;201911
201902;SUBTE;22.959.217;201911
201902;TREN;31.183.631;201911
201903;COLECTIVO;258.923.822;201911
201903;SUBTE;26.975.223;201911
201903;TREN;34.368.275;201911
201904;COLECTIVO;254.655.438;201911
201904;SUBTE;27.036.653;201911
201904;TREN;34.081.567;201911
201905;COLECTIVO;266.975.899;201911
201905;SUBTE;29.364.056;201911
201905;TREN;36.806.949;201911
201906;COLECTIVO;243.432.672;201911
201906;SUBTE;26.327.824;201911
201906;TREN;33.247.346;201911
201907;COLECTIVO;255.013.605;201911
201907;SUBTE;29.045.814;201911
201907;TREN;37.036.175;201911
201908;COLECTIVO;272.617.843;201911
201908;SUBTE;30.052.265;201911
201908;TREN;38.698.986;201911
201909;COLECTIVO;269.769.950;201911
201909;SUBTE;29.509.183;201911
201909;TREN;38.473.941;201911
201910;COLECTIVO;277.967.547;201911
201910;SUBTE;30.809.398;201911
201910;TREN;39.258.436;201911
